hhid,persid,dayType,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS,wasted_time
Y24H6180101,Y24H6180101P03,Weekday,vehicle passenger,5,1.95303,5.0,1612.387079007,melb - outer,greater melbourne,0.0
Y24H6180103,Y24H6180103P05,Weekday,public bus,56,13.40739,64.0,1192.08218899,melb - outer,greater melbourne,8.0
Y24H6180203,Y24H6180203P03,Weekday,vehicle passenger,3,2.25098,3.0,429.033220837,melb - outer,greater melbourne,0.0
Y24H6180203,Y24H6180203P04,Weekday,vehicle passenger,3,2.25098,3.0,367.034902159,melb - outer,greater melbourne,0.0
Y24H6180217,Y24H6180217P04,Weekday,vehicle passenger,30,13.40849,30.0,526.895420269,melb - outer,greater melbourne,0.0
Y24H6180237,Y24H6180237P03,Weekday,vehicle passenger,45,15.22057,45.0,874.834244593,melb - outer,greater melbourne,0.0
Y24H6180240,Y24H6180240P03,Weekday,vehicle passenger,2,1.09071,2.0,1335.711705964,melb - outer,greater melbourne,0.0
Y24H6180240,Y24H6180240P04,Weekday,vehicle passenger,2,1.09071,2.0,1262.016125136,melb - outer,greater melbourne,0.0
Y24H6180402,Y24H6180402P02,Weekday,public bus,15,4.4100600000000005,15.0,1027.165595538,melb - inner,greater melbourne,0.0
Y24H6180407,Y24H6180407P02,Weekend,vehicle driver,30,9.71514,30.0,1067.510671161,melb - inner,greater melbourne,0.0
Y24H6180410,Y24H6180410P04,Weekday,vehicle passenger,50,16.63604,50.0,1128.706564994,melb - inner,greater melbourne,0.0
Y24H6180515,Y24H6180515P03,Weekday,vehicle passenger,4,1.76725,4.0,700.635396333,melb - middle,greater melbourne,0.0
Y24H6180515,Y24H6180515P04,Weekday,vehicle passenger,4,1.76725,4.0,700.635396333,melb - middle,greater melbourne,0.0
Y24H6190117,Y24H6190117P02,Weekday,school bus,28,21.41787,40.0,751.269217033,melb - outer,greater melbourne,12.0
