hhid,persid,dayType,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS,wasted_time
Y24H5780130,Y24H5780130P03,Weekday,vehicle driver,45,28.40421,45.0,2474.652409293,melb - outer,greater melbourne,0.0
Y24H5780136,Y24H5780136P01,Weekday,vehicle driver,25,21.92011,25.0,2164.846951774,melb - outer,greater melbourne,0.0
Y24H5780136,Y24H5780136P02,Weekday,vehicle driver,25,20.52874,25.0,1429.48156662,melb - outer,greater melbourne,0.0
Y24H5780138,Y24H5780138P03,Weekday,vehicle driver,20,14.31274,20.0,1893.903533362,melb - outer,greater melbourne,0.0
Y24H5780138,Y24H5780138P05,Weekday,vehicle driver,60,73.2057,60.0,2180.783878628,melb - outer,greater melbourne,0.0
Y24H5780140,Y24H5780140P01,Weekday,vehicle driver,6,3.04119,6.0,1161.273834269,melb - outer,greater melbourne,0.0
Y24H5780140,Y24H5780140P01,Weekday,vehicle driver,20,3.69467,22.0,1161.273834269,melb - outer,greater melbourne,2.0
Y24H5780140,Y24H5780140P02,Weekday,train,78,51.67476,88.0,821.123425848,melb - outer,greater melbourne,10.0
Y24H5780203,Y24H5780203P02,Weekday,vehicle driver,17,6.6972,17.0,1053.948971643,melb - middle,greater melbourne,0.0
Y24H5780209,Y24H5780209P01,Weekday,vehicle driver,15,5.89517,15.0,465.795221025,melb - middle,greater melbourne,0.0
Y24H5780216,Y24H5780216P02,Weekday,vehicle driver,9,3.00476,9.0,448.205577226,melb - middle,greater melbourne,0.0
Y24H5780303,Y24H5780303P01,Weekday,vehicle driver,26,12.14059,35.0,1016.484880168,melb - inner,greater melbourne,9.0
Y24H5780308,Y24H5780308P01,Weekday,bicycle,30,11.94153,30.0,884.803035033,melb - inner,greater melbourne,0.0
Y24H5780311,Y24H5780311P01,Weekday,vehicle driver,31,12.12343,31.0,422.585844662,melb - inner,greater melbourne,0.0
Y24H5780318,Y24H5780318P02,Weekday,vehicle driver,40,12.56289,40.0,1030.495347831,melb - inner,greater melbourne,0.0
Y24H5780323,Y24H5780323P01,Weekday,train,55,19.2471,60.0,291.631485791,melb - inner,greater melbourne,5.0
Y24H5780324,Y24H5780324P01,Weekday,vehicle driver,7,2.84102,7.0,489.832517267,melb - inner,greater melbourne,0.0
Y24H5780324,Y24H5780324P02,Weekday,vehicle driver,45,10.48561,45.0,682.742306262,melb - inner,greater melbourne,0.0
Y24H5780324,Y24H5780324P02,Weekday,vehicle driver,10,2.75564,10.0,682.742306262,melb - inner,greater melbourne,0.0
Y24H5780325,Y24H5780325P01,Weekday,walking,15,0.70371,15.0,446.304415523,melb - inner,greater melbourne,0.0
Y24H5780341,Y24H5780341P02,Weekend,train,23,6.44129,30.0,412.96826578,melb - inner,greater melbourne,7.0
Y24H5780404,Y24H5780404P01,Weekday,train,56,12.28193,82.0,305.635012797,melb - inner,greater melbourne,26.0
Y24H5780404,Y24H5780404P02,Weekday,train,35,7.71465,45.0,1365.794729556,melb - inner,greater melbourne,10.0
Y24H5780405,Y24H5780405P02,Weekday,vehicle driver,32,6.20547,42.0,223.065471034,melb - inner,greater melbourne,10.0
Y24H5780416,Y24H5780416P02,Weekday,vehicle driver,18,4.33405,18.0,181.834633658,melb - inner,greater melbourne,0.0
Y24H5780417,Y24H5780417P02,Weekday,bicycle,40,7.59736,40.0,736.741510251,melb - inner,greater melbourne,0.0
Y24H5780426,Y24H5780426P01,Weekday,tram,31,7.20182,37.0,731.981340639,melb - inner,greater melbourne,6.0
Y24H5780431,Y24H5780431P01,Weekday,tram,57,9.98009,75.0,551.703732209,melb - inner,greater melbourne,18.0
Y24H5780432,Y24H5780432P01,Weekday,tram,33,5.202070000000001,40.0,571.26138426,melb - inner,greater melbourne,7.0
Y24H5780440,Y24H5780440P01,Weekday,walking,7,0.5319,7.0,336.191525409,melb - inner,greater melbourne,0.0
Y24H5790103,Y24H5790103P01,Weekday,vehicle driver,10,6.09659,10.0,1706.303099074,melb - outer,greater melbourne,0.0
Y24H5790103,Y24H5790103P02,Weekday,vehicle driver,25,11.76543,27.0,770.311598515,melb - outer,greater melbourne,2.0
Y24H5790105,Y24H5790105P01,Weekday,vehicle driver,18,6.85433,18.0,299.659447207,melb - outer,greater melbourne,0.0
Y24H5790105,Y24H5790105P02,Weekday,vehicle driver,16,9.64454,16.0,1226.809394512,melb - outer,greater melbourne,0.0
Y24H5790122,Y24H5790122P01,Weekday,vehicle driver,12,6.445069999999999,17.0,306.975290896,melb - outer,greater melbourne,5.0
Y24H5790122,Y24H5790122P01,Weekday,vehicle driver,11,5.93236,11.0,306.975290896,melb - outer,greater melbourne,0.0
Y24H5790124,Y24H5790124P02,Weekday,vehicle driver,17,8.38969,17.0,489.10906574,melb - outer,greater melbourne,0.0
Y24H5790129,Y24H5790129P01,Weekday,train,75,46.40525,81.0,316.961438198,melb - outer,greater melbourne,6.0
Y24H5790129,Y24H5790129P02,Weekday,vehicle driver,30,29.36047,30.0,344.910138927,melb - outer,greater melbourne,0.0
Y24H5790129,Y24H5790129P02,Weekday,vehicle driver,20,24.22724,20.0,344.910138927,melb - outer,greater melbourne,0.0
Y24H5790135,Y24H5790135P03,Weekend,public bus,50,12.40876,55.0,818.740013933,melb - outer,greater melbourne,5.0
Y24H5790203,Y24H5790203P01,Weekday,walking,22,2.06022,22.0,355.205654191,melb - middle,greater melbourne,0.0
Y24H5790210,Y24H5790210P01,Weekday,vehicle driver,12,6.59998,12.0,377.709191887,melb - middle,greater melbourne,0.0
Y24H5790210,Y24H5790210P02,Weekday,train,95,25.49123,98.0,394.158877889,melb - middle,greater melbourne,3.0
Y24H5790212,Y24H5790212P03,Weekday,vehicle driver,16,10.30743,16.0,601.163395717,melb - middle,greater melbourne,0.0
Y24H5790215,Y24H5790215P01,Weekday,vehicle driver,12,6.17427,12.0,319.939559975,melb - middle,greater melbourne,0.0
Y24H5790218,Y24H5790218P01,Weekday,train,32,14.22989,32.0,229.202217068,melb - middle,greater melbourne,0.0
Y24H5790220,Y24H5790220P01,Weekend,vehicle driver,30,24.19971,30.0,368.033088156,melb - middle,greater melbourne,0.0
Y24H5790223,Y24H5790223P03,Weekday,vehicle driver,10,2.38515,10.0,529.231962358,melb - middle,greater melbourne,0.0
Y24H5790224,Y24H5790224P01,Weekday,vehicle driver,48,31.02208,49.0,375.30951099,melb - middle,greater melbourne,1.0
