dayType_journey,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS_journey,homeregion_ASGS_journey,wasted_time,num_stops,stop_category,group_travel_distance,journey_label,agegroup,sex,carlicence,mbikelicence,anywork,studying,mainact,persinc,anywfh,persinc_category,hhsize,dwelltype,owndwell,totalbikes,totalvehs,hhinc_group,hhinc_category
Weekday,vehicle driver,36,25.67176,41.0,564.160356736,melb - outer,greater melbourne,5.0,1,1 stop,20-40,1,30->34,Female,Full Licence,0,1,No Study,Casual Work,500,No,low,4,Separate House,Fully Owned,2,2,3000,medium
Weekend,vehicle driver,35,24.68133,35.0,808.62788728,melb - outer,greater melbourne,0.0,0,0 stop,20-40,1,20->24,Male,Green Probationary Licence,0,1,No Study,Full-time Work,1000,No,medium,4,Separate House,Being Rented,Missing/Refused,3,6000,high
Weekday,train,61,31.58943,74.0,550.409215302,melb - outer,greater melbourne,13.0,4,3+ stops,20-40,1,40->44,Male,Full Licence,0,1,No Study,Full-time Work,2000,Yes,high,5,Separate House,Being Rented,2,1,4000,high
Weekday,vehicle driver,15,4.42473,15.0,648.607500414,melb - outer,greater melbourne,0.0,0,0 stop,0-10,1,25->29,Male,Full Licence,0,1,No Study,Part-time Work,1000,No,medium,3,Terrace or Townhouse,Being Rented,0,2,2500,medium
Weekday,vehicle driver,10,4.42473,10.0,736.592673293,melb - outer,greater melbourne,0.0,0,0 stop,0-10,1,25->29,Male,Full Licence,0,1,No Study,Part-time Work,1000,No,medium,3,Terrace or Townhouse,Being Rented,0,2,2500,medium
Weekday,vehicle driver,45,21.57263,45.0,258.944629875,melb - outer,greater melbourne,0.0,0,0 stop,20-40,1,55->59,Female,Full Licence,0,1,No Study,Full-time Work,1750,No,high,4,Separate House,Fully Owned,0,3,2500,medium
Weekday,vehicle driver,60,54.60913,60.0,1751.831838142,melb - outer,greater melbourne,0.0,0,0 stop,40+,1,50->54,Male,Full Licence,1,1,No Study,Full-time Work,1500,No,medium,4,Separate House,Being Rented,5,5,1500,low
Weekday,vehicle driver,55,30.06955,55.0,619.700442978,melb - outer,greater melbourne,0.0,0,0 stop,20-40,1,60->64,Female,Full Licence,1,0,No Study,Other,300,Not in Work Force,low,2,Separate House,Fully Owned,1,3,800,low
Weekday,vehicle driver,51,27.3657,62.0,967.267770339,melb - outer,greater melbourne,11.0,1,1 stop,20-40,1,60->64,Male,Full Licence,0,1,No Study,Full-time Work,1250,Yes,medium,2,Separate House,Being Purchased,1,5,3500,medium
Weekday,vehicle driver,87,93.57422,87.0,278.794025943,melb - outer,greater melbourne,0.0,0,0 stop,40+,1,65->69,Male,Full Licence,0,1,No Study,Full-time Work,2000,Yes,high,2,Separate House,Fully Owned,3,2,2500,medium
Weekday,vehicle driver,32,17.60305,32.0,603.647774423,melb - outer,greater melbourne,0.0,0,0 stop,10-20,1,50->54,Female,Full Licence,0,1,No Study,Part-time Work,800,No,medium,5,Separate House,Being Purchased,4,2,5000,high
Weekday,vehicle driver,13,10.2296,13.0,528.684711144,melb - outer,greater melbourne,0.0,0,0 stop,10-20,1,20->24,Male,Green Probationary Licence,0,0,Full-time TAFE/Uni,Full-time TAFE/Uni,500,Not in Work Force,low,5,Separate House,Being Purchased,4,2,5000,high
Weekday,vehicle passenger,8,4.68692,8.0,300.74834746,melb - outer,greater melbourne,0.0,0,0 stop,0-10,1,60->64,Female,No Car Licence,0,1,No Study,Full-time Work,800,No,medium,2,Separate House,Being Purchased,0,2,800,low
Weekday,train,77,40.7041,94.0,211.723190444,melb - outer,greater melbourne,17.0,3,3+ stops,40+,1,55->59,Male,Full Licence,0,1,No Study,Full-time Work,3000,No,high,2,Separate House,Being Purchased,0,2,800,low
Weekday,vehicle driver,15,11.45295,15.0,268.927905453,melb - outer,greater melbourne,0.0,0,0 stop,10-20,1,40->44,Female,Full Licence,0,1,No Study,Part-time Work,1,Yes,low,3,Separate House,Being Purchased,2,2,1750,medium
Weekday,train,46,22.93237,46.0,512.760834359,melb - inner,greater melbourne,0.0,2,2 stops,20-40,1,55->59,Male,Full Licence,0,1,No Study,Part-time Work,1500,No,medium,3,Separate House,Being Purchased,8,2,3500,medium
Weekday,vehicle passenger,10,3.45612,10.0,689.310954849,melb - inner,greater melbourne,0.0,0,0 stop,0-10,1,40->44,Female,Full Licence,0,1,No Study,Full-time Work,650,Yes,medium,4,Terrace or Townhouse,Being Rented,4,1,2500,medium
Weekday,vehicle driver,10,3.45612,10.0,602.915811554,melb - inner,greater melbourne,0.0,0,0 stop,0-10,1,40->44,Female,Full Licence,0,1,No Study,Part-time Work,1750,Yes,high,4,Terrace or Townhouse,Being Rented,4,1,2500,medium
Weekend,tram,24,3.7982,25.0,1684.899541279,melb - inner,greater melbourne,1.0,2,2 stops,0-10,1,55->59,Male,Full Licence,0,1,No Study,Full-time Work,1500,No,medium,1,Separate House,Being Purchased,1,1,1500,low
Weekday,vehicle driver,10,2.33578,10.0,907.090036676,melb - inner,greater melbourne,0.0,0,0 stop,0-10,1,40->44,Male,Full Licence,0,1,No Study,Full-time Work,1500,No,medium,2,Separate House,Being Rented,2,1,3500,medium
Weekday,train,39,15.70706,42.0,933.280579153,melb - middle,greater melbourne,3.0,2,2 stops,10-20,1,35->39,Male,Full Licence,0,1,No Study,Full-time Work,2000,Yes,high,1,Terrace or Townhouse,Being Purchased,2,1,2500,medium
